"config","task","status","successes","trials","success_rate","source_res_json"
"demo_clean","place_dual_shoes","partial_running","0","1","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_dual_shoes/client/stseed-10000/metrics/place_dual_shoes/res.json"
"demo_clean","place_fan","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_fan/client/stseed-10000/metrics/place_fan/res.json"
"demo_clean","place_mouse_pad","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_mouse_pad/client/stseed-10000/metrics/place_mouse_pad/res.json"
"demo_clean","place_object_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json"
"demo_clean","place_object_scale","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json"
"demo_clean","place_object_stand","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json"
"demo_clean","place_phone_stand","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json"
"demo_clean","press_stapler","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/press_stapler/client/stseed-10000/metrics/press_stapler/res.json"
"demo_clean","put_object_cabinet","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json"
"demo_clean","rotate_qrcode","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json"
"demo_clean","shake_bottle","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/shake_bottle/client/stseed-10000/metrics/shake_bottle/res.json"
"demo_clean","shake_bottle_horizontally","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/shake_bottle_horizontally/client/stseed-10000/metrics/shake_bottle_horizontally/res.json"
"demo_clean","stack_blocks_two","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json"
"demo_clean","stamp_seal","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json"
"demo_clean","turn_switch","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/turn_switch/client/stseed-10000/metrics/turn_switch/res.json"
"demo_randomized","adjust_bottle","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/adjust_bottle/client/stseed-10000/metrics/adjust_bottle/res.json"
"demo_randomized","beat_block_hammer","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json"
"demo_randomized","blocks_ranking_rgb","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json"
"demo_randomized","blocks_ranking_size","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/blocks_ranking_size/client/stseed-10000/metrics/blocks_ranking_size/res.json"
"demo_randomized","click_alarmclock","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/click_alarmclock/client/stseed-10000/metrics/click_alarmclock/res.json"
"demo_randomized","click_bell","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/click_bell/client/stseed-10000/metrics/click_bell/res.json"
"demo_randomized","dump_bin_bigbin","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_randomized","grab_roller","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/grab_roller/client/stseed-10000/metrics/grab_roller/res.json"
"demo_randomized","handover_block","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_randomized","handover_mic","partial_running","4","4","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/handover_mic/client/stseed-10000/metrics/handover_mic/res.json"
"demo_randomized","hanging_mug","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json"
"demo_randomized","lift_pot","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/lift_pot/client/stseed-10000/metrics/lift_pot/res.json"
"demo_randomized","move_can_pot","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_can_pot/client/stseed-10000/metrics/move_can_pot/res.json"
"demo_randomized","move_pillbottle_pad","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_pillbottle_pad/client/stseed-10000/metrics/move_pillbottle_pad/res.json"
"demo_randomized","move_playingcard_away","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_playingcard_away/client/stseed-10000/metrics/move_playingcard_away/res.json"
"demo_randomized","move_stapler_pad","complete","6","10","0.6","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_randomized","open_laptop","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
"demo_randomized","open_microwave","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/open_microwave/client/stseed-10000/metrics/open_microwave/res.json"
"demo_randomized","pick_diverse_bottles","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json"
"demo_randomized","pick_dual_bottles","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_dual_bottles/client/stseed-10000/metrics/pick_dual_bottles/res.json"
"demo_randomized","place_a2b_left","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json"
"demo_randomized","place_a2b_right","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json"
"demo_randomized","place_bread_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json"
"demo_randomized","place_bread_skillet","partial_running","7","9","0.777777777777778","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json"
"demo_randomized","place_burger_fries","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json"
"demo_randomized","place_can_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_can_basket/client/stseed-10000/metrics/place_can_basket/res.json"
"demo_randomized","place_cans_plasticbox","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json"
"demo_randomized","place_container_plate","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_container_plate/client/stseed-10000/metrics/place_container_plate/res.json"
"demo_randomized","place_dual_shoes","partial_running","0","5","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_dual_shoes/client/stseed-10000/metrics/place_dual_shoes/res.json"
"demo_randomized","place_empty_cup","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_empty_cup/client/stseed-10000/metrics/place_empty_cup/res.json"
"demo_randomized","place_fan","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_fan/client/stseed-10000/metrics/place_fan/res.json"
"demo_randomized","place_mouse_pad","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_mouse_pad/client/stseed-10000/metrics/place_mouse_pad/res.json"
"demo_randomized","place_object_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json"
"demo_randomized","place_object_scale","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json"
"demo_randomized","place_object_stand","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json"
"demo_randomized","place_phone_stand","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json"
"demo_randomized","place_shoe","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_shoe/client/stseed-10000/metrics/place_shoe/res.json"
"demo_randomized","press_stapler","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/press_stapler/client/stseed-10000/metrics/press_stapler/res.json"
"demo_randomized","put_bottles_dustbin","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/put_bottles_dustbin/client/stseed-10000/metrics/put_bottles_dustbin/res.json"
"demo_randomized","put_object_cabinet","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json"
"demo_randomized","rotate_qrcode","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json"
"demo_randomized","scan_object","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/scan_object/client/stseed-10000/metrics/scan_object/res.json"
"demo_randomized","shake_bottle","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/shake_bottle/client/stseed-10000/metrics/shake_bottle/res.json"
"demo_randomized","shake_bottle_horizontally","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/shake_bottle_horizontally/client/stseed-10000/metrics/shake_bottle_horizontally/res.json"
"demo_randomized","stack_blocks_three","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stack_blocks_three/client/stseed-10000/metrics/stack_blocks_three/res.json"
"demo_randomized","stack_blocks_two","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json"
"demo_randomized","stack_bowls_three","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stack_bowls_three/client/stseed-10000/metrics/stack_bowls_three/res.json"
"demo_randomized","stack_bowls_two","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stack_bowls_two/client/stseed-10000/metrics/stack_bowls_two/res.json"
"demo_randomized","stamp_seal","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json"
"demo_randomized","turn_switch","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/turn_switch/client/stseed-10000/metrics/turn_switch/res.json"
